time,distance,gyro_angle
0,0,0
1,0,-1
6,0,-1
11,0,-1
16,0,-1
21,0,-1
26,0,-1
31,0,-1
36,0,-1
41,0,-1
46,0,-1
51,0,-1
56,0,-1
61,0,0
66,0,0
71,0,0
76,0,0
81,0,0
86,0,0
91,-1,-1
96,-1,-1
101,-1,-1
106,-1,-1
111,-1,-1
116,-1,-1
121,-1,-1
126,-1,-1
131,-1,-1
136,-1,-1
141,-1,-1
146,-1,-1
151,-1,-1
156,-1,-1
161,-1,-1
166,-1,-1
171,-1,-1
176,-1,-1
181,-1,-1
186,-1,-2
191,-1,-2
196,-1,-2
201,-1,-2
206,-1,-2
211,-2,-2
216,-2,-2
221,-2,-2
226,-2,-2
231,-2,-2
236,-2,-2
241,-2,-3
246,-2,-3
251,-2,-3
256,-2,-3
261,-2,-3
266,-2,-3
271,-2,-3
276,-2,-3
281,-2,-3
286,-2,-3
291,-2,-3
296,-2,-3
301,-2,-3
306,-2,-3
311,-2,-3
316,-2,-3
321,-2,-3
326,-2,-3
331,-2,-3
336,-3,-3
341,-3,-3
346,-3,-3
351,-3,-3
356,-3,-3
361,-3,-3
366,-3,-3
371,-3,-3
376,-3,-3
381,-3,-3
386,-3,-3
391,-3,-3
396,-3,-3
401,-3,-3
406,-3,-3
411,-3,-3
416,-3,-3
421,-3,-3
426,-3,-3
431,-3,-3
436,-3,-3
442,-3,-3
447,-3,-3
452,-3,-3
457,-3,-3
462,-3,-3
467,-3,-3
472,-3,-3
477,-3,-3
482,-3,-3
487,-3,-3
492,-3,-3
497,-3,-3
502,-3,-3
507,-3,-3
512,-3,-3
517,-3,-3
522,-3,-3
527,-3,-3
532,-3,-3
537,-3,-3
543,-3,-3
549,-3,-3
555,-3,-3
561,-3,-3
567,-2,-4
573,-3,-4
579,-3,-4
585,-3,-4
591,-3,-4
597,-3,-4
603,-3,-4
609,-3,-4
615,-4,-5
621,-4,-5
627,-4,-5
633,-4,-6
639,-4,-6
645,-4,-7
651,-4,-7
657,-5,-7
663,-5,-7
668,-5,-8
673,-5,-8
678,-5,-8
684,-6,-9
690,-6,-9
696,-6,-9
702,-7,-10
708,-7,-10
714,-7,-11
720,-8,-11
726,-8,-11
732,-8,-12
738,-9,-12
744,-9,-13
750,-10,-13
756,-10,-14
762,-11,-14
768,-11,-15
774,-11,-16
780,-12,-16
786,-13,-17
792,-13,-17
798,-13,-18
804,-14,-19
810,-15,-19
816,-15,-20
822,-16,-20
828,-16,-21
834,-17,-22
840,-18,-22
846,-18,-23
852,-19,-24
858,-19,-25
864,-20,-25
870,-21,-26
876,-21,-26
882,-22,-28
888,-22,-28
894,-23,-29
900,-24,-30
906,-25,-31
912,-25,-32
918,-26,-33
924,-27,-34
930,-28,-34
936,-28,-36
942,-29,-37
948,-30,-38
954,-31,-39
960,-32,-39
966,-33,-41
972,-34,-42
978,-34,-43
984,-35,-43
990,-37,-44
996,-37,-46
1002,-38,-46
1008,-39,-47
1014,-40,-48
1020,-41,-49
1026,-42,-50
1032,-43,-51
1038,-43,-52
1044,-44,-52
1050,-45,-54
1056,-46,-54
1062,-46,-55
1068,-47,-56
1074,-48,-56
1080,-49,-58
1086,-50,-58
1092,-50,-59
1098,-51,-60
1104,-51,-60
1110,-52,-61
1116,-53,-62
1122,-54,-63
1128,-54,-63
1134,-55,-64
1140,-56,-65
1146,-57,-66
1152,-57,-66
1158,-58,-67
1164,-58,-68
1170,-59,-69
1176,-60,-69
1182,-61,-70
1188,-61,-70
1194,-61,-71
1200,-62,-72
1206,-62,-72
1212,-63,-72
1218,-63,-73
1224,-63,-73
1230,-64,-74
1236,-64,-74
1242,-65,-75
1248,-65,-75
1254,-65,-75
