time,distance,gyro_angle
0,0,0
1,0,0
6,0,0
11,0,0
16,0,0
21,0,0
26,0,0
31,0,0
36,0,0
41,0,0
46,0,0
51,0,0
56,0,0
61,0,0
66,0,0
71,0,0
76,0,0
81,0,0
86,0,0
91,0,0
96,0,0
101,0,0
106,0,0
111,0,0
116,0,0
121,0,0
126,0,0
131,0,0
136,0,0
141,0,0
146,0,0
151,0,0
156,0,0
161,0,0
166,0,0
171,0,0
176,0,0
181,0,0
186,0,0
191,0,0
196,0,0
201,0,0
206,0,0
211,0,0
216,0,0
221,0,0
226,0,0
231,0,0
236,0,0
241,0,0
246,0,0
251,0,0
256,0,0
261,0,0
266,0,0
271,0,0
276,0,0
281,0,0
286,0,0
291,0,0
296,0,0
301,0,0
306,0,0
311,0,0
316,0,0
321,0,0
326,0,0
331,0,0
336,0,0
341,0,0
346,0,0
351,0,0
356,0,0
361,0,0
366,0,0
371,0,0
376,0,0
381,0,0
386,0,0
391,0,0
396,0,0
401,0,0
406,0,0
411,0,0
416,0,0
421,0,0
426,0,0
431,0,0
436,0,0
441,0,0
446,0,0
451,0,0
456,0,0
461,0,0
466,0,0
471,0,0
476,0,0
481,0,0
486,0,0
491,0,0
496,0,0
501,0,0
506,0,0
511,0,0
516,0,0
521,0,0
526,0,0
531,0,0
536,0,0
541,0,0
546,0,0
551,0,0
556,0,0
561,0,0
566,0,0
571,0,0
576,0,0
581,0,0
586,0,0
591,0,0
596,0,0
601,0,0
606,0,0
611,0,0
616,0,0
621,0,0
626,0,0
631,0,0
636,0,0
641,0,0
646,0,0
651,0,0
656,0,0
661,0,0
666,0,0
671,0,0
676,0,0
681,0,0
686,0,0
691,0,0
696,0,0
701,0,0
706,0,0
711,0,0
716,0,0
721,0,0
726,0,0
731,0,0
736,0,0
741,0,0
746,0,0
751,0,0
756,0,0
761,0,0
766,0,0
771,0,0
776,0,0
781,0,0
786,0,0
791,0,0
796,0,0
801,0,0
806,0,0
811,0,0
816,0,0
821,0,0
826,0,0
831,0,0
836,0,0
841,0,0
846,0,0
851,0,0
856,0,0
861,0,0
866,0,0
871,0,0
876,0,0
881,0,0
886,-1,0
891,-1,0
896,-1,0
901,-1,0
906,-1,0
911,-2,0
916,-2,0
921,-2,0
926,-2,0
931,-2,0
936,-2,0
941,-2,0
946,-3,0
951,-3,0
956,-3,0
961,-3,0
966,-3,0
971,-3,0
976,-3,0
981,-3,0
986,-3,0
991,-3,0
996,-3,0
1001,-3,0
1006,-3,0
1011,-4,0
1016,-4,0
1021,-4,0
1026,-4,0
1031,-4,0
1036,-4,0
1041,-5,1
1046,-5,1
1051,-5,1
1056,-5,1
1061,-5,1
1066,-6,1
1071,-6,1
1076,-6,1
1081,-7,1
1086,-7,1
1091,-8,1
1096,-8,1
1101,-9,2
1106,-9,2
1111,-10,2
1116,-10,2
1121,-11,2
1126,-12,2
1131,-12,2
1136,-13,2
1141,-14,2
1146,-14,2
1151,-15,2
1156,-16,3
1161,-17,3
1166,-17,3
1171,-18,3
1176,-20,3
1181,-20,3
1186,-21,3
1191,-22,3
1196,-22,3
1201,-24,3
1206,-24,4
1211,-26,4
1216,-27,4
1221,-28,4
1226,-29,4
1231,-30,4
1236,-31,4
1241,-32,4
1246,-34,4
1251,-35,4
1256,-36,4
1261,-38,5
1266,-39,5
1271,-40,5
1276,-41,5
1281,-43,5
1286,-44,5
1291,-45,5
1296,-46,5
1301,-47,6
1306,-49,6
1311,-50,6
1316,-52,6
1321,-53,6
1326,-54,6
1331,-56,6
1336,-57,6
1341,-59,7
1346,-60,7
1351,-62,7
1356,-63,7
1361,-65,7
1366,-66,7
1371,-67,8
1376,-69,8
1381,-70,8
1386,-72,8
1391,-73,8
1396,-75,9
1401,-76,9
1406,-78,9
1411,-80,9
1416,-81,10
1421,-83,10
1426,-84,10
1431,-86,10
1436,-88,11
1441,-89,11
1446,-91,11
1451,-93,11
1456,-94,12
1461,-96,12
1466,-98,12
1471,-99,12
1476,-101,13
1481,-103,13
1486,-104,13
1491,-106,14
1496,-107,14
1501,-109,14
1506,-110,14
1511,-111,15
1516,-113,15
1521,-114,15
1526,-116,16
1531,-117,16
1536,-119,16
1541,-120,16
1546,-122,17
1551,-123,17
1556,-125,17
1561,-126,18
1566,-128,18
1571,-129,18
1576,-131,19
1581,-132,19
1586,-133,19
1591,-135,20
1596,-136,20
1601,-138,20
1606,-140,21
1611,-141,21
1616,-142,21
1621,-144,22
1626,-145,22
1631,-147,22
1636,-149,23
1641,-150,23
1646,-152,23
1651,-154,24
1656,-155,24
1661,-157,24
1666,-158,25
1671,-160,25
1676,-162,25
1681,-164,26
1686,-166,26
1691,-168,26
1696,-170,27
1701,-172,27
1706,-173,27
1711,-175,27
1716,-177,28
1721,-178,28
1726,-180,28
1731,-182,28
1736,-184,29
1741,-186,29
1746,-187,29
1751,-189,29
1756,-191,30
1761,-193,30
1766,-194,30
1771,-196,30
1776,-198,31
1781,-199,31
1786,-200,31
1791,-202,31
1796,-204,32
1801,-205,32
1806,-207,32
1811,-209,32
1816,-210,33
1821,-212,33
1826,-214,33
1831,-215,33
1836,-217,33
1841,-218,34
1846,-220,34
1851,-221,34
1856,-223,35
1861,-224,35
1866,-226,35
1871,-228,35
1876,-229,36
1881,-231,36
1886,-233,36
1891,-234,36
1896,-236,37
1901,-238,37
1906,-240,37
1911,-241,38
1916,-243,38
1921,-244,38
1926,-246,38
1931,-248,39
1936,-250,39
1941,-252,39
1946,-253,40
1951,-255,40
1956,-257,40
1961,-258,41
1966,-260,41
1971,-262,41
1976,-264,42
1981,-265,42
1986,-267,42
1991,-268,43
1996,-270,43
2001,-272,44
2006,-274,44
2011,-275,44
2016,-277,45
2021,-279,45
2026,-281,45
2031,-282,46
2036,-284,46
2041,-286,46
2046,-287,47
2051,-289,47
2056,-291,47
2061,-292,48
2066,-294,48
2071,-296,48
2076,-297,49
2081,-299,49
2086,-301,49
2091,-303,50
2096,-305,50
2101,-306,50
2106,-308,51
2111,-309,51
2116,-311,51
2121,-313,52
2126,-315,52
2131,-317,52
2136,-319,53
2141,-321,53
2146,-322,53
2151,-324,53
2156,-326,54
2161,-328,54
2166,-329,54
2171,-330,55
2176,-332,55
2181,-333,55
2186,-335,56
2191,-337,56
2196,-338,56
2201,-340,56
2206,-341,57
2211,-342,57
2216,-344,57
2221,-345,58
2226,-346,58
2231,-348,58
2236,-349,59
2241,-350,59
2246,-352,59
2251,-353,59
2256,-354,60
2261,-356,60
2266,-357,60
2271,-359,60
2276,-360,61
2281,-362,61
2286,-363,61
2291,-364,61
2296,-366,62
2301,-368,62
2306,-370,62
2311,-371,62
2316,-372,63
2321,-374,63
2326,-375,63
2331,-377,63
2336,-378,64
2341,-380,64
2346,-382,64
2351,-384,64
2356,-385,65
2361,-387,65
2366,-389,65
