time,distance,gyro_angle
1,0,0
1,0,0
6,0,0
11,0,0
16,0,0
21,0,0
26,0,0
31,0,0
36,0,0
41,0,0
46,0,0
51,0,0
56,0,0
61,0,0
66,0,0
71,0,0
76,0,0
81,0,0
86,0,0
91,0,0
96,0,0
101,0,0
106,0,0
111,0,0
116,0,0
121,0,0
126,0,0
131,0,0
136,0,0
141,0,0
146,0,0
151,0,0
156,0,0
161,0,0
166,0,0
171,0,0
176,0,0
181,0,0
186,0,0
191,0,0
196,0,0
201,0,0
206,0,0
211,0,0
216,0,0
221,0,0
226,0,0
231,0,0
236,0,0
241,0,0
246,0,0
251,0,0
256,0,0
261,0,0
266,0,0
271,0,0
276,0,0
281,0,0
286,0,0
291,0,0
296,0,0
301,0,0
306,0,0
311,0,0
316,0,0
321,0,0
326,0,0
331,0,0
336,0,0
341,0,0
346,0,0
351,0,0
356,0,0
361,0,0
366,0,0
371,0,0
376,0,0
381,0,0
386,0,0
391,0,0
396,0,0
401,0,0
406,0,0
411,0,0
416,0,0
421,0,0
426,0,0
431,0,0
436,0,0
441,0,0
446,0,0
451,0,0
456,0,0
461,0,0
466,0,0
471,0,0
476,0,0
481,0,0
486,0,0
491,0,0
496,0,0
501,0,0
506,0,0
511,0,0
516,0,0
521,0,0
526,0,0
531,0,0
536,0,0
541,0,0
546,0,0
551,0,0
556,0,0
561,0,0
566,0,0
571,0,0
576,0,0
581,0,0
586,0,0
591,0,0
596,0,0
601,0,0
606,0,0
611,0,0
616,0,0
621,1,0
626,1,0
631,1,0
636,1,0
641,1,0
646,2,0
651,2,0
656,2,-1
661,3,-1
666,3,-1
671,3,-1
676,4,-1
681,4,-1
686,5,-2
691,5,-2
696,6,-2
701,6,-2
706,7,-2
711,7,-2
716,8,-2
721,9,-2
726,9,-2
731,10,-2
736,10,-3
741,11,-3
746,12,-3
751,13,-3
756,13,-3
761,14,-3
766,15,-3
771,16,-3
776,17,-3
781,17,-3
786,18,-3
791,19,-3
796,20,-3
801,21,-3
806,22,-3
811,22,-3
816,23,-3
821,24,-3
826,25,-3
831,26,-3
836,27,-3
841,28,-3
846,28,-3
851,30,-3
856,31,-3
861,32,-3
866,33,-3
871,34,-3
876,35,-3
881,36,-3
886,37,-3
891,38,-3
896,40,-2
901,41,-2
906,42,-2
911,43,-2
916,44,-2
921,45,-2
926,46,-2
931,47,-1
936,48,-1
941,49,-1
946,50,-1
951,52,-1
956,53,-1
961,54,0
966,55,0
971,57,0
976,58,0
981,59,0
986,61,0
991,62,0
996,63,0
1001,64,0
1006,66,1
1011,67,1
1016,68,1
1021,69,1
1026,71,2
1031,72,2
1036,74,2
1041,75,2
1046,76,3
1051,78,3
1056,80,3
1061,81,3
1066,83,4
1071,84,4
1076,86,4
1081,88,4
1086,89,5
1091,90,5
1096,91,5
1101,94,6
1106,95,6
1111,97,6
1116,99,6
1121,100,7
1126,101,7
1131,104,7
1136,105,8
1141,107,8
1146,109,8
1151,110,8
1156,111,9
1161,114,9
1166,116,9
1171,117,10
1176,119,10
1181,121,11
1186,122,11
1191,124,11
1196,125,12
1201,127,12
1206,128,12
1211,130,13
1216,131,13
1221,133,13
1226,134,14
1231,136,14
1236,137,14
1241,139,15
1246,140,15
1251,142,15
1256,143,16
1261,145,16
1266,146,17
1271,148,17
1276,149,17
1281,151,18
1286,153,18
1291,154,18
1296,155,19
1301,156,19
1306,158,20
1311,160,20
1316,161,20
1321,163,21
1326,164,21
1331,166,22
1336,167,22
1341,169,22
1346,170,23
1351,172,23
1356,174,24
1361,175,24
1366,176,24
1371,178,25
1376,179,25
1381,181,26
1386,182,26
1391,184,26
1396,185,27
1401,187,27
1406,189,27
1411,190,28
1416,192,28
1421,193,28
1426,195,28
1431,197,29
1436,198,29
1441,199,30
1446,201,30
1451,202,30
1456,204,30
1461,206,31
1466,207,31
1471,209,32
1476,210,32
1481,212,32
1486,214,33
1491,215,33
1496,217,33
1501,219,34
1506,220,34
1511,221,34
1516,223,35
1521,225,35
1526,226,36
1531,228,36
1536,230,36
1541,231,37
1546,233,37
1551,234,37
1556,236,38
1561,238,38
1566,239,38
1571,241,39
1576,242,39
1581,244,39
1586,245,40
1591,247,40
1596,249,40
1601,250,41
1606,252,41
1611,253,41
1616,255,42
1621,257,42
1626,258,42
1631,260,43
1636,262,43
1641,263,44
1646,264,44
1651,266,44
1656,267,45
1661,269,45
1666,270,45
1671,272,46
1676,273,46
1681,275,46
1686,276,47
1691,278,47
1696,279,48
1701,281,48
1706,282,48
1711,284,49
1716,285,49
1721,287,49
1726,288,50
1731,290,50
1736,292,50
1741,293,51
1746,295,51
1751,297,51
1756,298,51
1761,300,52
1766,301,52
1771,303,52
1776,305,53
1781,307,53
1786,308,53
1791,309,53
1796,311,54
1801,313,54
1806,315,54
1811,317,54
1816,318,54
1821,320,54
1826,322,55
1831,324,55
1836,326,55
1841,327,55
1846,329,55
1851,331,55
1856,333,55
1861,334,55
1866,336,55
1871,338,55
1876,339,55
1881,341,56
1886,343,56
1891,345,56
1896,346,56
1901,348,56
1906,350,56
1911,351,55
1916,352,55
1921,354,55
1926,356,55
1931,357,55
1936,359,55
1941,361,55
1946,362,55
1951,364,55
1956,365,55
1961,367,54
1966,369,54
1971,370,54
1976,372,54
1981,374,54
1986,375,54
1991,376,54
1996,378,53
2001,380,53
2006,382,53
2011,384,53
2016,385,53
2021,387,52
2026,389,52
2031,391,52
2036,392,52
2041,394,51
2046,396,51
2051,397,51
2056,399,51
2061,401,50
2066,403,50
2071,404,50
2076,406,49
2081,408,49
2086,410,49
2091,412,49
2096,414,48
2101,416,48
2106,417,48
2111,419,48
2116,421,47
2121,423,47
2126,424,47
2131,426,46
2136,428,46
2141,430,46
2146,432,45
2151,433,45
2156,435,45
2161,437,44
2166,439,44
2171,440,44
2176,442,44
2181,443,43
2186,445,43
2191,447,43
2196,448,43
2201,450,42
2206,452,42
2211,454,42
2216,455,41
2221,457,41
2226,459,41
2231,461,40
2236,462,40
2241,464,40
2246,466,40
2251,467,39
2256,470,39
2261,471,39
2266,473,39
2271,475,38
2276,477,38
2281,479,38
2286,481,38
2291,483,37
2296,484,37
2301,486,37
2306,488,37
2311,490,37
2316,492,36
2321,494,36
2326,496,36
2331,498,36
2336,500,35
2341,501,35
2346,503,35
2351,505,35
2356,506,35
2361,508,34
2366,510,34
2371,512,34
2376,513,34
2381,515,33
2386,517,33
2391,519,33
2396,521,33
2401,523,32
2406,525,32
2411,526,32
2416,528,32
2421,529,32
2426,531,31
2431,533,31
2436,535,31
2441,536,31
2446,538,31
2451,540,30
2456,542,30
2461,544,30
2466,546,30
2471,547,29
2476,549,29
2481,550,29
2486,552,29
2491,554,29
2496,556,28
2501,558,28
2506,560,28
2511,562,28
2516,563,27
2521,565,27
2526,567,27
2531,569,27
2536,571,26
2541,572,26
2546,574,26
2551,576,25
2556,578,25
2561,579,25
2566,581,25
2571,583,24
2576,585,24
2581,586,24
2586,588,24
2591,590,23
2596,591,23
2601,593,23
2606,594,22
2611,596,22
2616,597,22
2621,599,22
2626,600,21
2631,602,21
2636,604,21
2641,605,21
2647,607,20
2652,609,20
2657,611,20
2662,612,19
2667,614,19
2672,616,19
2677,618,18
2682,619,18
2687,621,18
2692,623,17
2697,625,17
2702,627,17
2707,629,16
2712,631,16
2717,633,16
2722,635,15
2727,637,15
2732,638,15
2737,640,14
2742,642,14
2747,644,14
2752,646,13
2757,648,13
2762,649,13
2767,651,12
2772,653,12
2777,655,12
2782,657,11
2787,658,11
2792,660,11
2797,661,11
2802,663,10
2807,664,10
2812,666,9
2817,668,9
2822,669,9
2827,671,9
2832,672,8
2837,674,8
2842,675,8
2847,677,7
2852,678,7
2857,680,6
2862,681,6
2867,682,6
2872,685,6
2877,686,5
2882,687,5
2887,689,5
2892,691,4
2897,691,4
2902,693,4
2907,695,4
2912,695,3
2917,697,3
2922,699,3
2927,700,2
2932,701,2
2937,702,2
2942,703,2
2947,704,1
2952,705,1
2957,706,1
2962,707,1
2967,709,0
2972,710,0
2977,711,0
2982,712,0
2987,713,0
2992,714,0
2997,715,0
3002,716,0
3007,717,-1
3012,718,-1
3017,720,-1
3022,720,-2
3027,721,-2
3032,723,-2
3037,724,-3
3042,725,-3
3047,726,-3
3052,726,-4
3057,727,-4
3062,727,-4
3067,728,-5
3072,729,-5
3077,729,-5
3082,730,-6
3087,731,-6
3092,731,-7
3097,732,-7
3102,733,-8
3107,734,-8
3112,734,-9
3117,735,-9
3122,736,-9
3127,737,-9
3132,738,-10
3137,739,-10
3142,739,-10
3147,740,-10
3152,741,-11
3157,742,-11
3162,742,-11
3167,743,-12
3172,744,-12
3177,744,-13
3182,745,-13
3187,746,-13
3192,746,-14
3197,747,-15
3202,747,-15
3207,748,-15
3212,748,-16
3217,749,-16
3222,750,-16
3227,750,-16
3232,751,-17
3237,751,-17
3242,752,-17
3247,753,-17
3252,753,-18
3257,754,-18
3262,755,-18
3267,755,-18
3272,756,-19
3277,756,-19
3282,757,-19
3287,757,-19
3292,758,-19
3297,759,-20
3302,759,-20
3307,760,-20
3312,760,-20
3317,761,-20
3322,761,-20
3327,762,-20
3332,763,-21
3337,763,-21
3342,764,-21
3347,764,-21
3352,764,-21
3357,765,-21
3362,765,-22
3367,766,-22
3372,766,-22
3377,767,-22
3382,767,-22
3387,767,-22
3392,767,-22
3397,767,-22
3402,767,-22
3407,767,-22
3412,767,-22
3417,767,-22
3422,767,-22
3427,768,-22
3432,768,-22
3437,768,-22
3442,768,-23
3447,768,-23
3452,768,-23
3457,768,-23
3462,768,-23
3467,768,-23
3472,768,-23
3477,768,-23
3482,768,-23
3487,768,-23
3492,768,-23
3497,768,-23
3502,768,-23
3507,768,-23
3512,768,-23
3517,768,-23
3522,768,-23
3527,768,-23
3532,768,-23
3537,768,-23
3542,768,-23
3547,768,-23
3552,768,-23
3557,768,-23
3562,768,-23
3567,768,-23
3572,768,-23
3577,768,-23
3582,768,-23
3587,768,-23
3592,768,-23
3597,768,-23
3602,768,-23
3607,768,-23
3612,768,-23
3617,768,-23
3622,768,-23
3627,768,-23
3632,768,-23
3637,768,-23
3642,768,-23
3647,768,-23
3652,768,-23
3657,768,-23
3662,768,-23
3667,768,-23
3672,768,-23
3677,768,-23
3682,768,-23
3687,768,-23
3692,768,-23
3697,768,-23
3702,769,-23
3707,769,-23
3712,769,-23
3717,769,-23
3722,769,-23
3727,769,-23
3732,769,-23
3737,769,-23
3742,770,-23
3747,770,-23
3752,770,-23
3757,770,-24
3762,770,-24
3767,770,-24
3772,770,-24
3777,770,-24
3782,770,-24
3787,770,-24
3792,770,-24
3797,770,-24
3802,770,-24
3807,770,-24
3812,770,-24
3817,771,-24
3822,771,-24
3827,771,-24
3832,771,-24
3837,771,-25
3842,772,-25
3847,772,-25
3852,772,-25
3857,772,-25
3862,773,-25
3867,773,-25
3872,774,-26
3877,774,-26
3882,775,-26
3887,776,-27
3892,776,-27
3897,776,-27
3902,778,-27
3907,778,-28
3912,778,-28
3917,779,-28
3922,780,-28
3927,781,-29
3932,782,-29
3937,782,-29
3942,783,-29
3947,784,-30
3952,785,-30
3957,786,-30
3962,787,-30
3967,788,-31
3972,789,-31
3977,790,-31
3982,791,-31
3987,792,-32
3992,792,-32
3997,793,-32
4002,795,-32
4007,796,-33
4012,797,-33
4017,798,-33
4022,799,-34
4027,800,-34
4032,802,-34
4037,803,-34
4042,804,-34
4047,806,-35
4052,807,-35
4057,809,-35
4062,810,-35
4067,811,-36
4072,813,-36
4077,814,-36
4082,815,-36
4087,817,-36
4092,819,-37
4097,820,-37
4102,822,-37
4107,823,-37
4112,825,-38
4117,827,-38
4122,829,-38
4127,830,-38
4132,832,-38
4137,834,-39
4142,835,-39
4147,837,-39
4152,839,-39
4157,840,-39
4162,842,-40
4167,844,-40
4172,846,-40
4177,847,-40
4182,849,-40
4187,851,-41
4192,853,-41
4197,855,-41
4202,857,-41
4207,858,-41
4212,860,-42
4217,861,-42
4222,863,-42
4227,865,-42
4232,867,-42
4237,869,-42
4242,870,-43
4247,872,-43
4252,874,-43
4257,875,-43
4262,877,-43
4267,879,-43
4272,880,-43
4277,882,-43
4282,883,-43
4287,885,-43
4292,886,-43
4297,888,-43
4302,890,-43
4307,891,-43
4312,893,-43
4317,894,-43
4322,896,-43
4327,898,-43
4332,899,-43
4337,901,-43
4342,902,-43
4347,904,-43
4352,905,-43
4357,907,-43
